subject,body,label
Confirmation due the deadline,"The document includes suggested changes and next steps. Let me know if you have any questions about
the plan. I scheduled a short meeting to review progress. I scheduled a short meeting to review
progress. I scheduled a short meeting to review progress.",normal
Meeting about the your feedback,"I wanted to share a brief update on the current status.  Please find the attached notes from our
last call. We completed the first phase and are moving forward.  I scheduled a short meeting to
review progress.",normal
Deadline approaching,"Please prioritize this action and confirm once done. Escalate this to management if you cannot
resolve it by end of day.",high_priority
Notes about invoice,"We completed the first phase and are moving forward. Please find the attached notes from our last
call.  Let me know if you have any questions about the plan. Let me know if you have any questions
about the plan.",normal
Question about the invoice,"The document includes suggested changes and next steps. I will follow up with the team later this
week. Thanks for your input on this matter. I scheduled a short meeting to review progress. Thanks
for your input on this matter.",normal
Claim your prize for you,"Claim your free gift card by entering your details. Earn money from home with this simple trick. We
noticed unusual activity — reset your password now. Congratulations! You have been selected to claim
your prize.",spam
Claim your prize for you,"Verify your payment information immediately to prevent suspension. Please provide your login details
to avoid service interruption. Earn money from home with this simple trick.",spam
Act now today,Earn money from home with this simple trick. You are pre-approved for a special loan offer today.,spam
Escalation: response needed,"Escalate this to management if you cannot resolve it by end of day. Please prioritize this action
and confirm once done. This task impacts the launch date and cannot be delayed.",high_priority
Notes for the quarterly plan,"I scheduled a short meeting to review progress. I scheduled a short meeting to review progress.  I
wanted to share a brief update on the current status.  I will follow up with the team later this
week.",normal
Status about the quarterly plan,"I scheduled a short meeting to review progress. We completed the first phase and are moving forward.
Please find the attached notes from our last call.",normal
Claim your prize today,"You are pre-approved for a special loan offer today. Verify your payment information immediately to
prevent suspension. You are pre-approved for a special loan offer today.",spam
Escalation: response needed,"Payment is overdue — please process the invoice immediately. Escalate this to management if you
cannot resolve it by end of day.",high_priority
Payment overdue,"This requires your immediate attention and a response today. This requires your immediate attention
and a response today. Payment is overdue — please process the invoice immediately. Please prioritize
this action and confirm once done.",high_priority
Invitation about the team assignments,"We completed the first phase and are moving forward. We completed the first phase and are moving
forward.  Please find the attached notes from our last call. The document includes suggested changes
and next steps. Please find the attached notes from our last call.",normal
Payment overdue,"Please prioritize this action and confirm once done. Please prioritize this action and confirm once
done. This task impacts the launch date and cannot be delayed. Deadline is tomorrow and the
deliverable must be signed off. Please prioritize this action and confirm once done.",high_priority
Confirmation about the deliverables,"I will follow up with the team later this week.  We completed the first phase and are moving
forward. Let me know if you have any questions about the plan.",normal
Invitation regarding the report,"Let me know if you have any questions about the plan. Thanks for your input on this matter.  I
wanted to share a brief update on the current status.",normal
Question regarding the quarterly plan,"I will follow up with the team later this week. The document includes suggested changes and next
steps.",normal
Follow-up about the deadline,Thanks for your input on this matter. I will follow up with the team later this week.,normal
Report about the project timeline,"Please find the attached notes from our last call.  We completed the first phase and are moving
forward. The document includes suggested changes and next steps. We completed the first phase and
are moving forward. This is a quick heads-up on the timeline change.",normal
Action for team assignments,"Please find the attached notes from our last call. Thanks for your input on this matter.  The
document includes suggested changes and next steps.  I wanted to share a brief update on the current
status.  Please find the attached notes from our last call.",normal
Status due next steps,I will follow up with the team later this week.  Please find the attached notes from our last call.,normal
You won — limited time,"We noticed unusual activity — reset your password now. Your account will be locked unless you
confirm your credentials. Limited time offer — act now to receive an exclusive discount. Limited
time offer — act now to receive an exclusive discount. Verify your payment information immediately
to prevent suspension.",spam
Limited offer for you,"Your account will be locked unless you confirm your credentials. Congratulations! You have been
selected to claim your prize. Congratulations! You have been selected to claim your prize.",spam
Invitation for the quarterly plan,"We completed the first phase and are moving forward. Let me know if you have any questions about the
plan. I wanted to share a brief update on the current status.",normal
Act now while supplies last,"You are pre-approved for a special loan offer today. This is not a scam — instant approval with no
credit check.",spam
Urgent: action required,"This requires your immediate attention and a response today. Payment is overdue — please process the
invoice immediately. We need the final figures to complete the audit by Friday. This task impacts
the launch date and cannot be delayed.",high_priority
Request for the budget,"Please find the attached notes from our last call.  I will follow up with the team later this week.
Let me know if you have any questions about the plan.",normal
Follow-up about the project timeline,"Let me know if you have any questions about the plan. Thanks for your input on this matter. The
document includes suggested changes and next steps.",normal
Escalation: response needed,"Escalate this to management if you cannot resolve it by end of day. This task impacts the launch
date and cannot be delayed. This task impacts the launch date and cannot be delayed. We need the
final figures to complete the audit by Friday.",high_priority
Special Promotion now,"Limited time offer — act now to receive an exclusive discount. We noticed unusual activity — reset
your password now. Claim your free gift card by entering your details.",spam
Update about your feedback,"This is a quick heads-up on the timeline change.  Let me know if you have any questions about the
plan.",normal
Exclusive deal while supplies last,"Earn money from home with this simple trick. Claim your free gift card by entering your details.
Earn money from home with this simple trick. Your account will be locked unless you confirm your
credentials.",spam
